n,tempo_ms,O(log n),O(n),O(n log n),O(n^2),O(n^3),O(2^n)
1000,0.0003576,9.96578,1000,9965.78,1e+06,1e+09,1.04858e+06
2000,0.00061,10.9658,2000,21931.6,4e+06,8e+09,1.04858e+06
3000,0.000884,11.5507,3000,34652.2,9e+06,2.7e+10,1.04858e+06
4000,0.0014516,11.9658,4000,47863.1,1.6e+07,6.4e+10,1.04858e+06
5000,0.0015784,12.2877,5000,61438.6,2.5e+07,1.25e+11,1.04858e+06
6000,0.0020832,12.5507,6000,75304.5,3.6e+07,2.16e+11,1.04858e+06
7000,0.0026938,12.7731,7000,89412,4.9e+07,3.43e+11,1.04858e+06
8000,0.0022938,12.9658,8000,103726,6.4e+07,5.12e+11,1.04858e+06
9000,0.002546,13.1357,9000,118221,8.1e+07,7.29e+11,1.04858e+06
10000,0.0031986,13.2877,10000,132877,1e+08,1e+12,1.04858e+06
